series_name,country_name,category,income_group_numeric,value,year,lag3,lag5,rolling3,rolling5,growth_rate
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Resources,1,85.0,2002,19.92818763679781,18.946549350769104,85.0,85.0,0.0
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,23.8527209414264,2002,19.92818763679781,18.946549350769104,54.4263604707132,54.4263604707132,-0.7193797536302776
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,23.8527209414264,2002,19.92818763679781,18.946549350769104,44.23514729428427,44.23514729428427,0.0
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,23.8527209414264,2002,85.0,18.946549350769104,23.8527209414264,39.1395407060698,0.0
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Resources,1,14.3,2003,23.8527209414264,18.946549350769104,20.6684806276176,34.17163256485584,-0.40048768293078196
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,1.15839757926285,2003,23.8527209414264,85.0,13.103706173563083,17.40331208070841,-0.9189931762753252
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,1.15839757926285,2003,23.8527209414264,23.8527209414264,5.538931719508567,12.864447408275703,0.0
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,1.15839757926285,2003,14.3,23.8527209414264,1.15839757926285,8.32558273584299,0.0
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Resources,1,6.4,2004,1.15839757926285,23.8527209414264,2.9055983861752335,4.83503854755771,4.5248734239177715
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,1.59198173537512,2004,1.15839757926285,14.3,3.0501264382126565,2.293434894632734,-0.7512528538476375
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,1.59198173537512,2004,1.15839757926285,1.15839757926285,3.1946544902500804,2.380151725855188,0.0
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,1.59198173537512,2004,6.4,1.15839757926285,1.59198173537512,2.466868557077642,0.0
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Resources,1,26.1,2005,1.59198173537512,1.15839757926285,9.761321156916747,7.455189041225073,15.394660453720618
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,2.57474180121596,2005,1.59198173537512,6.4,10.08890784553036,6.690137401468265,-0.9013508888423004
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,2.57474180121596,2005,1.59198173537512,1.59198173537512,10.416494534143974,6.886689414636433,0.0
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,2.57474180121596,2005,26.1,1.59198173537512,2.57474180121596,7.0832414278046,0.0
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Resources,1,18.9,2006,2.57474180121596,1.59198173537512,8.016494534143973,10.544845080729576,6.3405418714506405
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,3.55761270200921,2006,2.57474180121596,26.1,8.344118167741723,6.036367621131419,-0.8117665237032163
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,3.55761270200921,2006,2.57474180121596,2.57474180121596,8.671741801339474,6.232941801290069,0.0
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,3.55761270200921,2006,18.9,2.57474180121596,3.55761270200921,6.429515981448719,0.0
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Resources,1,99.4,2007,3.55761270200921,2.57474180121596,35.50507513467281,25.794567621205527,26.94008463705521
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,4.54042802361367,2007,3.55761270200921,18.9,35.83268024187429,22.92265322592826,-0.9543216496618343
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,4.54042802361367,2007,3.55761270200921,3.55761270200921,36.160285349075785,23.119216290249152,0.0
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,4.54042802361367,2007,99.4,3.55761270200921,4.54042802361367,23.315779354570047,0.0
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Resources,1,24.0,2008,4.54042802361367,3.55761270200921,11.026952015742447,27.4042568141682,4.285845271675225
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,5.52326911153632,2008,4.54042802361367,99.4,11.354565711716662,8.628910636475466,-0.76986378701932
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,5.52326911153632,2008,4.54042802361367,4.54042802361367,11.68217940769088,8.825478854059995,0.0
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,5.52326911153632,2008,24.0,4.54042802361367,5.52326911153632,9.022047071644526,0.0
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Resources,1,97.9,2009,5.52326911153632,4.54042802361367,36.315512741024214,27.69396146692179,16.72500995751205
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,6.50623097581648,2009,5.52326911153632,24.0,36.64316669578427,24.19520766208509,-0.9335420737914558
Births attended by skilled health staff (% of total),Afghanistan,Healthcare Expenditure,1,6.50623097581648,2009,5.52326911153632,5.52326911153632,36.97082065054432,24.39180003494112,0.0
