series_name,country_name,category,income_group,year,value
"Fertility rate, total (births per woman)",United States,Demographics & Socioeconomics,High-Income Countries,2002,2.0205
"Fertility rate, total (births per woman)",Germany,Demographics & Socioeconomics,High-Income Countries,2002,1.34
"Fertility rate, total (births per woman)",Japan,Demographics & Socioeconomics,High-Income Countries,2002,1.32
"Fertility rate, total (births per woman)",Norway,Demographics & Socioeconomics,High-Income Countries,2002,1.75
"Fertility rate, total (births per woman)",Australia,Demographics & Socioeconomics,High-Income Countries,2002,1.756
"Fertility rate, total (births per woman)","Korea, Rep.",Demographics & Socioeconomics,High-Income Countries,2002,1.178
"Fertility rate, total (births per woman)",Canada,Demographics & Socioeconomics,High-Income Countries,2002,1.52
"Fertility rate, total (births per woman)",United Kingdom,Demographics & Socioeconomics,High-Income Countries,2002,1.63
"Fertility rate, total (births per woman)",Switzerland,Demographics & Socioeconomics,High-Income Countries,2002,1.39
"Fertility rate, total (births per woman)",Italy,Demographics & Socioeconomics,High-Income Countries,2002,1.27
"Fertility rate, total (births per woman)",Sweden,Demographics & Socioeconomics,High-Income Countries,2002,1.65
"Fertility rate, total (births per woman)",Brazil,Demographics & Socioeconomics,Middle-Income Countries,2002,2.103
"Fertility rate, total (births per woman)",India,Demographics & Socioeconomics,Middle-Income Countries,2002,3.217
"Fertility rate, total (births per woman)",South Africa,Demographics & Socioeconomics,Middle-Income Countries,2002,2.324
"Fertility rate, total (births per woman)",Mexico,Demographics & Socioeconomics,Middle-Income Countries,2002,2.623
"Fertility rate, total (births per woman)",Indonesia,Demographics & Socioeconomics,Middle-Income Countries,2002,2.456
"Fertility rate, total (births per woman)",Philippines,Demographics & Socioeconomics,Middle-Income Countries,2002,3.656
"Fertility rate, total (births per woman)","Egypt, Arab Rep.",Demographics & Socioeconomics,Middle-Income Countries,2002,3.318
"Fertility rate, total (births per woman)",Colombia,Demographics & Socioeconomics,Middle-Income Countries,2002,2.458
"Fertility rate, total (births per woman)",Argentina,Demographics & Socioeconomics,Middle-Income Countries,2002,2.493
"Fertility rate, total (births per woman)",Viet Nam,Demographics & Socioeconomics,Middle-Income Countries,2002,2.063
"Fertility rate, total (births per woman)",Morocco,Demographics & Socioeconomics,Middle-Income Countries,2002,2.67
"Fertility rate, total (births per woman)",Nigeria,Demographics & Socioeconomics,Low-Income Countries,2002,6.135
"Fertility rate, total (births per woman)",Ethiopia,Demographics & Socioeconomics,Low-Income Countries,2002,6.374
"Fertility rate, total (births per woman)",Haiti,Demographics & Socioeconomics,Low-Income Countries,2002,4.125
"Fertility rate, total (births per woman)",Afghanistan,Demographics & Socioeconomics,Low-Income Countries,2002,7.339
"Fertility rate, total (births per woman)",Bangladesh,Demographics & Socioeconomics,Low-Income Countries,2002,3.084
"Fertility rate, total (births per woman)",Uganda,Demographics & Socioeconomics,Low-Income Countries,2002,6.779
"Fertility rate, total (births per woman)",Nepal,Demographics & Socioeconomics,Low-Income Countries,2002,3.59
"Fertility rate, total (births per woman)",Mozambique,Demographics & Socioeconomics,Low-Income Countries,2002,5.734
"Fertility rate, total (births per woman)",Sudan,Demographics & Socioeconomics,Low-Income Countries,2002,5.248
"Fertility rate, total (births per woman)",Madagascar,Demographics & Socioeconomics,Low-Income Countries,2002,5.225
"Fertility rate, total (births per woman)",Rwanda,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),United States,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Germany,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Japan,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Norway,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Australia,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),"Korea, Rep.",Demographics & Socioeconomics,High-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Canada,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),United Kingdom,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Switzerland,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Italy,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Sweden,Demographics & Socioeconomics,High-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Brazil,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),India,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),South Africa,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Mexico,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Indonesia,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Philippines,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),"Egypt, Arab Rep.",Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Colombia,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
Urban poverty headcount ratio at national poverty lines (% of urban population),Argentina,Demographics & Socioeconomics,Middle-Income Countries,2002,5.752
